filename,text
"./log-card-000-adaptive-tinkerer-1.jpg","o£ _ Adaptive Tinkerer
> ,\
> — off 3 p ZZ PaK = ty
You can be and accomplish
anything you want, and so can
your items. You ve learned to see
in them new forms and functions,
however temporary they may be.
Before skill checks, you may return
one item & to AIM to get GRD."
"./log-card-000-deep-intuition-1.jpg","cy | Deep Intuition >
| „aaa na „PB 1,
ONE Se 8
Your imaginative, empathic nature
manifests in a peculiar understanding of
others and the world. When inspiration
strikes, your heart can guide you.
In H or © skill check, you
may discard to get (1%)
Then you may roll @.
1 - 3: Get GER.
4 - 12: Get GK) and
you may roll @ again."
"./log-card-000-dynamic-duo-1.jpg","CY Dynamic Duo |
You are an inseparable duo, and
when its time to go all out, few can
keep up with you. No river seems
too deep and no ocean too wide
when you face them together.
When you begin & scene,
you may discard to get
in all skill checks in the scene."
"./log-card-000-early-bird-1.jpg","CH _ Sarly Bird |
; a j suszy AI
Ą ZP © a
z z? oe > =
U MD Say TD |
You ve grown to be a great adventurer,
seizing the chance to leave your mark
on the world, starting every new leg of
Jour journey with unmatched energy.
In skill checks, you may
hasten 1 to get GRD."
"./log-card-000-force-of-nature-1.jpg","w force of Nature | 4
ae a Mae =
A power most ancient dwells deep within
you: the single-minded will of polecat

explorers, you being its latest champion.

Before a skill check, you may

discard to use the dice below

as your dice pool. You cannot

use the normal full reroll.
A 14 Bay
m P>ywouw/u/"
"./log-card-000-friendly-waves-1.jpg","CY | Friendly Waves | &
Befriending the biggest fish of the
local pirate world has its perks.
Just a whisper in the right ear,
and you re on your way on one of
the swiftest vessels in Galzyr.
During your travel, you may
discard to transport your figure
from one © to any other ©."
"./log-card-000-lighten-the-load-1.jpg","a: | Lighten the Load L
Your life has taught you the necessity of
being ready to let go. When you discard

the old, you open new opportunities
while staying light on your feet.
Once on each of your travels,
you may return an item & to FR
to get +2 movement.
2D 4
PEL }"
"./log-card-000-power-of-mind-1.jpg","% | Power of Mind | <a
| hy } w ae Ę | | A is. 3 ; ż pa
o NEO „o =) Ę,
! ""NEC"" e 9.3 ©
Vee Ae. SE 07
(OBR „Ai. MOS
You ve spent decades honing your mind
into a weapon of analytical brilliance.
When truly tested, you find approaches
others could barely comprehend.
Before a skill check, you may
discard to replace the tested
skill with a skill of your choice."
"./log-card-000-reckless-potential-1.jpg","Reckless Potential 3
AE. Oy s Sa AUD
7 of ALA % łe 5

You ve surpassed what was thought
possible a long time ago. Leveraging
all your strength and experience, you

break through your items limits as well.
After using an item & in a skill
check, you may use it again
one more time and roll ©.
1 - 6: Return the item & to ait."
"./log-card-000-shady-contacts-1.jpg","—
CY Shady Contacts | ©
You ve made contact with a web of
smugglers, black marketeers, and
other shadowy salesfolk. Turning
an unneeded item into gold takes
only a touch of clandestine effort.
Once on each of your travels,
at @, you may return an
item X to Hk to gain 3 ©."
"./log-card-000-shifting-strategies-1.jpg","cs _ Shifting Strategies \ 4
Re dd AE =
a ae. TF. E 4
You have learned and fully adopted
the power of adaptation. You wont
be stuck in your ways, ready and
able at a moment's notice to chase
a new thought or another path.
You may discard to swap
up to 2 of your skill marks
for any other skill marks."
